
-----------------------------------------------
All the distinct words in descending order:
-----------------------------------------------

Word = At, 			Occurrence = 42
Word = As, 			Occurrence = 42
Word = read, 			Occurrence = 42
Word = name, 			Occurrence = 42
Word = sure, 			Occurrence = 42
Word = Yes, 			Occurrence = 42
Word = owl, 			Occurrence = 41
Word = second, 			Occurrence = 41
Word = why, 			Occurrence = 41
Word = His, 			Occurrence = 41
Word = books, 			Occurrence = 41
Word = without, 			Occurrence = 41
Word = Now, 			Occurrence = 41
Word = mirror, 			Occurrence = 39
Word = stop, 			Occurrence = 39
Word = always, 			Occurrence = 38
Word = across, 			Occurrence = 38
Word = caught, 			Occurrence = 38
Word = being, 			Occurrence = 38
Word = should, 			Occurrence = 38
Word = remember, 			Occurrence = 38
Word = onto, 			Occurrence = 38
Word = under, 			Occurrence = 38
Word = table, 			Occurrence = 38
Word = try, 			Occurrence = 38
Word = When, 			Occurrence = 37
Word = our, 			Occurrence = 37
Word = gave, 			Occurrence = 37
Word = better, 			Occurrence = 37
Word = stood, 			Occurrence = 37
Word = every, 			Occurrence = 37
Word = We, 			Occurrence = 37
Word = reached, 			Occurrence = 37
Word = wizard, 			Occurrence = 37
Word = else, 			Occurrence = 36
Word = new, 			Occurrence = 36
Word = same, 			Occurrence = 36
Word = wall, 			Occurrence = 36
Word = hair, 			Occurrence = 36
Word = Madam, 			Occurrence = 36
Word = everyone, 			Occurrence = 36
Word = full, 			Occurrence = 36
Word = kept, 			Occurrence = 36
Word = fire, 			Occurrence = 36
Word = Percy, 			Occurrence = 36
Word = outside, 			Occurrence = 35
Word = stared, 			Occurrence = 35
Word = whispered, 			Occurrence = 35
Word = hat, 			Occurrence = 35
Word = high, 			Occurrence = 34
Word = quite, 			Occurrence = 34
Word = ground, 			Occurrence = 34
Word = place, 			Occurrence = 34
Word = hands, 			Occurrence = 34
Word = mean, 			Occurrence = 34
Word = top, 			Occurrence = 34
Word = life, 			Occurrence = 34
Word = hall, 			Occurrence = 34
Word = magic, 			Occurrence = 34
Word = broom, 			Occurrence = 34
Word = Fred, 			Occurrence = 34
Word = these, 			Occurrence = 33
Word = ask, 			Occurrence = 33
Word = whole, 			Occurrence = 33
Word = forward, 			Occurrence = 33
Word = yet, 			Occurrence = 33
Word = coming, 			Occurrence = 33
Word = each, 			Occurrence = 33
Word = doing, 			Occurrence = 33
Word = forest, 			Occurrence = 33
Word = man, 			Occurrence = 32
Word = small, 			Occurrence = 32
Word = anyone, 			Occurrence = 32
Word = window, 			Occurrence = 32
Word = own, 			Occurrence = 32
Word = along, 			Occurrence = 32
Word = hear, 			Occurrence = 32
Word = train, 			Occurrence = 32
Word = Peeves, 			Occurrence = 32
Word = standing, 			Occurrence = 31
Word = morning, 			Occurrence = 31
Word = has, 			Occurrence = 31
Word = In, 			Occurrence = 31
Word = silver, 			Occurrence = 31
Word = nose, 			Occurrence = 31
Word = happened, 			Occurrence = 31
Word = side, 			Occurrence = 31
Word = Voldemort, 			Occurrence = 30
Word = getting, 			Occurrence = 30
Word = year, 			Occurrence = 30
Word = against, 			Occurrence = 30
Word = white, 			Occurrence = 30
Word = troll, 			Occurrence = 30
Word = four, 			Occurrence = 29
Word = noticed, 			Occurrence = 29
Word = shouted, 			Occurrence = 29
Word = stopped, 			Occurrence = 29
Word = suppose, 			Occurrence = 29
Word = both, 			Occurrence = 29
Word = hard, 			Occurrence = 29
Word = best, 			Occurrence = 29
Word = lost, 			Occurrence = 29
Word = hundred, 			Occurrence = 29
Word = George, 			Occurrence = 29
Word = corridor, 			Occurrence = 29
Word = big, 			Occurrence = 28
Word = nearly, 			Occurrence = 28
Word = everything, 			Occurrence = 28
Word = work, 			Occurrence = 28
Word = half, 			Occurrence = 28
Word = gold, 			Occurrence = 28
Word = taken, 			Occurrence = 28
Word = talking, 			Occurrence = 28
Word = fer, 			Occurrence = 28
Word = team, 			Occurrence = 28
Word = most, 			Occurrence = 27
Word = help, 			Occurrence = 27
Word = minutes, 			Occurrence = 27
Word = family, 			Occurrence = 27
Word = mother, 			Occurrence = 27
Word = father, 			Occurrence = 27
Word = green, 			Occurrence = 27
Word = trouble, 			Occurrence = 27
Word = bad, 			Occurrence = 27
Word = need, 			Occurrence = 27
Word = Great, 			Occurrence = 27
Word = Gringotts, 			Occurrence = 27
Word = broomstick, 			Occurrence = 27
Word = yes, 			Occurrence = 26
Word = able, 			Occurrence = 26
Word = Not, 			Occurrence = 26
Word = sort, 			Occurrence = 26
Word = many, 			Occurrence = 26
Word = dragon, 			Occurrence = 26
Word = corner, 			Occurrence = 25
Word = sight, 			Occurrence = 25
Word = light, 			Occurrence = 25
Word = five, 			Occurrence = 25
Word = snapped, 			Occurrence = 25
Word = straight, 			Occurrence = 25
Word = sitting, 			Occurrence = 25
Word = robes, 			Occurrence = 25
Word = holding, 			Occurrence = 25
Word = give, 			Occurrence = 25
Word = rest, 			Occurrence = 25
Word = Christmas, 			Occurrence = 25
Word = Fluffy, 			Occurrence = 25
Word = passed, 			Occurrence = 24
Word = words, 			Occurrence = 24
Word = set, 			Occurrence = 24
Word = move, 			Occurrence = 24
Word = week, 			Occurrence = 24
Word = Why, 			Occurrence = 24
Word = heart, 			Occurrence = 24
Word = cold, 			Occurrence = 24
Word = giant, 			Occurrence = 24
Word = ten, 			Occurrence = 24
Word = feeling, 			Occurrence = 24
Word = Look, 			Occurrence = 24
Word = match, 			Occurrence = 24
Word = cat, 			Occurrence = 23
Word = except, 			Occurrence = 23
Word = funny, 			Occurrence = 23
Word = dead, 			Occurrence = 23
Word = sorry, 			Occurrence = 23
Word = catch, 			Occurrence = 23
Word = staring, 			Occurrence = 23
Word = world, 			Occurrence = 23
Word = does, 			Occurrence = 23
Word = arms, 			Occurrence = 23
Word = One, 			Occurrence = 23
Word = round, 			Occurrence = 23
Word = red, 			Occurrence = 23
Word = began, 			Occurrence = 23
Word = somewhere, 			Occurrence = 23
Word = either, 			Occurrence = 23
Word = library, 			Occurrence = 23
Word = empty, 			Occurrence = 23
Word = note, 			Occurrence = 23
Word = Flamel, 			Occurrence = 23
Word = Granger, 			Occurrence = 23
Word = castle, 			Occurrence = 23
Word = Norbert, 			Occurrence = 23
Word = reason, 			Occurrence = 22
Word = moved, 			Occurrence = 22
Word = Come, 			Occurrence = 22
Word = those, 			Occurrence = 22
Word = someone, 			Occurrence = 22
Word = Muggle, 			Occurrence = 22
Word = far, 			Occurrence = 22
Word = common, 			Occurrence = 22
Word = rather, 			Occurrence = 22
Word = answer, 			Occurrence = 22
Word = dog, 			Occurrence = 22
Word = noise, 			Occurrence = 22
Word = class, 			Occurrence = 22
Word = between, 			Occurrence = 22
Word = stone, 			Occurrence = 22
Word = students, 			Occurrence = 22
Word = Goyle, 			Occurrence = 22
Word = strange, 			Occurrence = 21
Word = such, 			Occurrence = 21
Word = hardly, 			Occurrence = 21
Word = street, 			Occurrence = 21
Word = watched, 			Occurrence = 21
Word = pointed, 			Occurrence = 21
Word = legs, 			Occurrence = 21
Word = nice, 			Occurrence = 21
Word = since, 			Occurrence = 21
Word = asleep, 			Occurrence = 21
Word = muttered, 			Occurrence = 21
Word = held, 			Occurrence = 21
Word = believe, 			Occurrence = 21
Word = talk, 			Occurrence = 21
Word = mouth, 			Occurrence = 21
Word = cupboard, 			Occurrence = 21
Word = parents, 			Occurrence = 21
Word = Two, 			Occurrence = 21
Word = dropped, 			Occurrence = 21
Word = book, 			Occurrence = 21
Word = twins, 			Occurrence = 21
Word = blood, 			Occurrence = 21
Word = Crabbe, 			Occurrence = 21
Word = For, 			Occurrence = 20
Word = together, 			Occurrence = 20
Word = owls, 			Occurrence = 20
Word = finally, 			Occurrence = 20
Word = tonight, 			Occurrence = 20
Word = My, 			Occurrence = 20
Word = knows, 			Occurrence = 20
Word = use, 			Occurrence = 20
Word = gasped, 			Occurrence = 20
Word = famous, 			Occurrence = 20
Word = huge, 			Occurrence = 20
Word = fast, 			Occurrence = 20
Word = gotten, 			Occurrence = 20
Word = feel, 			Occurrence = 20
Word = alone, 			Occurrence = 20
Word = horrible, 			Occurrence = 20
Word = glass, 			Occurrence = 20
Word = ceiling, 			Occurrence = 20
Word = anyway, 			Occurrence = 20
Word = speak, 			Occurrence = 20
Word = managed, 			Occurrence = 20
Word = stay, 			Occurrence = 20
Word = letters, 			Occurrence = 20
Word = pale, 			Occurrence = 20
Word = idea, 			Occurrence = 20
Word = followed, 			Occurrence = 20
Word = unicorn, 			Occurrence = 20
Word = Flitwick, 			Occurrence = 20
Word = Ronan, 			Occurrence = 20
Word = met, 			Occurrence = 19
Word = car, 			Occurrence = 19
Word = stupid, 			Occurrence = 19
Word = close, 			Occurrence = 19
Word = Muggles, 			Occurrence = 19
Word = word, 			Occurrence = 19
Word = After, 			Occurrence = 19
Word = waiting, 			Occurrence = 19
Word = spoke, 			Occurrence = 19
Word = smiling, 			Occurrence = 19
Word = exactly, 			Occurrence = 19
Word = Everyone, 			Occurrence = 19
Word = opened, 			Occurrence = 19
Word = arm, 			Occurrence = 19
Word = game, 			Occurrence = 19
Word = Are, 			Occurrence = 19
Word = That, 			Occurrence = 19
Word = Just, 			Occurrence = 19
Word = raised, 			Occurrence = 19
Word = cup, 			Occurrence = 19
Word = ran, 			Occurrence = 19
Word = wait, 			Occurrence = 19
Word = pleased, 			Occurrence = 19
Word = safe, 			Occurrence = 19
Word = forget, 			Occurrence = 19
Word = Quaffle, 			Occurrence = 19
Word = THE, 			Occurrence = 18
Word = usual, 			Occurrence = 18
Word = different, 			Occurrence = 18
Word = home, 			Occurrence = 18
Word = knocked, 			Occurrence = 18
Word = On, 			Occurrence = 18
Word = loudly, 			Occurrence = 18
Word = watching, 			Occurrence = 18
Word = times, 			Occurrence = 18
Word = woman, 			Occurrence = 18
Word = heads, 			Occurrence = 18
Word = kill, 			Occurrence = 18
Word = watch, 			Occurrence = 18
Word = turn, 			Occurrence = 18
Word = sound, 			Occurrence = 18
Word = stepped, 			Occurrence = 18
Word = shook, 			Occurrence = 18
Word = Good, 			Occurrence = 18
Word = died, 			Occurrence = 18
Word = leave, 			Occurrence = 18
Word = given, 			Occurrence = 18
Word = seat, 			Occurrence = 18
Word = Where, 			Occurrence = 18
Word = hope, 			Occurrence = 18
Word = making, 			Occurrence = 18
Word = See, 			Occurrence = 18
Word = hut, 			Occurrence = 18
Word = Ollivander, 			Occurrence = 18
Word = Seamus, 			Occurrence = 18
Word = Snitch, 			Occurrence = 18
Word = Firenze, 			Occurrence = 18
Word = CHAPTER, 			Occurrence = 17
Word = neck, 			Occurrence = 17
Word = arrived, 			Occurrence = 17
Word = sign, 			Occurrence = 17
Word = wearing, 			Occurrence = 17
Word = however, 			Occurrence = 17
Word = forgotten, 			Occurrence = 17
Word = realized, 			Occurrence = 17
Word = allowed, 			Occurrence = 17
Word = crowd, 			Occurrence = 17
Word = lay, 			Occurrence = 17
Word = wrong, 			Occurrence = 17
Word = sleep, 			Occurrence = 17
Word = pocket, 			Occurrence = 17
Word = sit, 			Occurrence = 17
Word = threw, 			Occurrence = 17
Word = call, 			Occurrence = 17
Word = pointing, 			Occurrence = 17
Word = understand, 			Occurrence = 17
Word = scar, 			Occurrence = 17
Word = taking, 			Occurrence = 17
Word = stand, 			Occurrence = 17
Word = slowly, 			Occurrence = 17
Word = Every, 			Occurrence = 17
Word = telling, 			Occurrence = 17
Word = snake, 			Occurrence = 17
Word = Do, 			Occurrence = 17
Word = Go, 			Occurrence = 17
Word = run, 			Occurrence = 17
Word = pain, 			Occurrence = 17
Word = won, 			Occurrence = 17
Word = brought, 			Occurrence = 17
Word = field, 			Occurrence = 17
Word = money, 			Occurrence = 17
Word = Thousand, 			Occurrence = 17
Word = seven, 			Occurrence = 17
Word = play, 			Occurrence = 17
Word = send, 			Occurrence = 17
Word = Privet, 			Occurrence = 16
Word = Drive, 			Occurrence = 16
Word = picked, 			Occurrence = 16
Word = walls, 			Occurrence = 16
Word = supposed, 			Occurrence = 16
Word = seem, 			Occurrence = 16
Word = dear, 			Occurrence = 16
Word = pair, 			Occurrence = 16
Word = near, 			Occurrence = 16
Word = bright, 			Occurrence = 16
Word = disappeared, 			Occurrence = 16
Word = above, 			Occurrence = 16
Word = showed, 			Occurrence = 16
Word = start, 			Occurrence = 16
Word = used, 			Occurrence = 16
Word = leg, 			Occurrence = 16
Word = terrible, 			Occurrence = 16
Word = shop, 			Occurrence = 16
Word = pushed, 			Occurrence = 16
Word = toad, 			Occurrence = 16
Word = Nimbus, 			Occurrence = 16
Word = became, 			Occurrence = 16
Word = platform, 			Occurrence = 16
Word = sent, 			Occurrence = 16
Word = Fang, 			Occurrence = 16
Word = number, 			Occurrence = 15
Word = also, 			Occurrence = 15
Word = secret, 			Occurrence = 15
Word = fact, 			Occurrence = 15
Word = thinking, 			Occurrence = 15
Word = yelled, 			Occurrence = 15
Word = important, 			Occurrence = 15
Word = afternoon, 			Occurrence = 15
Word = Even, 			Occurrence = 15
Word = angry, 			Occurrence = 15
Word = stuff, 			Occurrence = 15
Word = turning, 			Occurrence = 15
Word = lamp, 			Occurrence = 15
Word = glasses, 			Occurrence = 15
Word = shoulder, 			Occurrence = 15
Word = late, 			Occurrence = 15
Word = Piers, 			Occurrence = 15
Word = doors, 			Occurrence = 15
Word = teachers, 			Occurrence = 15
Word = breath, 			Occurrence = 15
Word = shut, 			Occurrence = 15
Word = please, 			Occurrence = 15
Word = Dark, 			Occurrence = 15
Word = learn, 			Occurrence = 15
Word = climbed, 			Occurrence = 15
Word = meet, 			Occurrence = 15
Word = others, 			Occurrence = 15
Word = Right, 			Occurrence = 15
Word = Hufflepuff, 			Occurrence = 15
Word = themselves, 			Occurrence = 15
Word = Nicolas, 			Occurrence = 15
Word = chamber, 			Occurrence = 15
Word = trees, 			Occurrence = 15
Word = Hall, 			Occurrence = 15
Word = ghost, 			Occurrence = 15
Word = Gryffindors, 			Occurrence = 15
Word = ahead, 			Occurrence = 15
Word = Bane, 			Occurrence = 15
Word = twice, 			Occurrence = 14
Word = sister, 			Occurrence = 14
Word = having, 			Occurrence = 14
Word = fingers, 			Occurrence = 14
Word = hurried, 			Occurrence = 14
Word = point, 			Occurrence = 14
Word = tiny, 			Occurrence = 14
Word = seconds, 			Occurrence = 14
Word = today, 			Occurrence = 14
Word = yourself, 			Occurrence = 14
Word = wondered, 			Occurrence = 14
Word = evening, 			Occurrence = 14
Word = instead, 			Occurrence = 14
Word = tea, 			Occurrence = 14
Word = tail, 			Occurrence = 14
Word = bet, 			Occurrence = 14
Word = eleven, 			Occurrence = 14
Word = liked, 			Occurrence = 14
Word = killed, 			Occurrence = 14
Word = twelve, 			Occurrence = 14
Word = low, 			Occurrence = 14
Word = silence, 			Occurrence = 14
Word = bent, 			Occurrence = 14
Word = London, 			Occurrence = 14
Word = Yeah, 			Occurrence = 14
Word = swung, 			Occurrence = 14
Word = playing, 			Occurrence = 14
Word = kitchen, 			Occurrence = 14
Word = boys, 			Occurrence = 14
Word = thick, 			Occurrence = 14
Word = mad, 			Occurrence = 14
Word = matter, 			Occurrence = 14
Word = leapt, 			Occurrence = 14
Word = running, 			Occurrence = 14
Word = mail, 			Occurrence = 14
Word = friends, 			Occurrence = 14
Word = deep, 			Occurrence = 14
Word = jumped, 			Occurrence = 14
Word = nearer, 			Occurrence = 14
Word = loud, 			Occurrence = 14
Word = spell, 			Occurrence = 14
Word = nervous, 			Occurrence = 14
Word = free, 			Occurrence = 14
Word = sudden, 			Occurrence = 14
Word = Charlie, 			Occurrence = 14
Word = turban, 			Occurrence = 14
Word = portrait, 			Occurrence = 14
Word = tree, 			Occurrence = 14
Word = guarding, 			Occurrence = 14
Word = hurt, 			Occurrence = 14
Word = Flint, 			Occurrence = 14
Word = invisibility, 			Occurrence = 14
Word = expect, 			Occurrence = 13
Word = sky, 			Occurrence = 13
Word = seized, 			Occurrence = 13
Word = smile, 			Occurrence = 13
Word = middle, 			Occurrence = 13
Word = flying, 			Occurrence = 13
Word = direction, 			Occurrence = 13
Word = apart, 			Occurrence = 13
Word = upstairs, 			Occurrence = 13
Word = purple, 			Occurrence = 13
Word = lose, 			Occurrence = 13
Word = lucky, 			Occurrence = 13
Word = odd, 			Occurrence = 13
Word = aunt, 			Occurrence = 13
Word = ready, 			Occurrence = 13
Word = wild, 			Occurrence = 13
Word = carefully, 			Occurrence = 13
Word = ago, 			Occurrence = 13
Word = pink, 			Occurrence = 13
Word = walking, 			Occurrence = 13
Word = birthday, 			Occurrence = 13
Word = questions, 			Occurrence = 13
Word = quiet, 			Occurrence = 13
Word = paper, 			Occurrence = 13
Word = nasty, 			Occurrence = 13
Word = hit, 			Occurrence = 13
Word = hour, 			Occurrence = 13
Word = body, 			Occurrence = 13
Word = screamed, 			Occurrence = 13
Word = practice, 			Occurrence = 13
Word = Your, 			Occurrence = 13
Word = Three, 			Occurrence = 13
Word = package, 			Occurrence = 13
Word = eh, 			Occurrence = 13
Word = worry, 			Occurrence = 13
Word = Never, 			Occurrence = 13
Word = cart, 			Occurrence = 13
Word = wizards, 			Occurrence = 13
Word = die, 			Occurrence = 13
Word = quietly, 			Occurrence = 13
Word = follow, 			Occurrence = 13
Word = expelled, 			Occurrence = 13
Word = third, 			Occurrence = 13
Word = dragons, 			Occurrence = 13
Word = Magic, 			Occurrence = 13
Word = Potions, 			Occurrence = 13
Word = smiled, 			Occurrence = 13
Word = pile, 			Occurrence = 13
Word = brooms, 			Occurrence = 13
Word = grounds, 			Occurrence = 13
Word = added, 			Occurrence = 13
Word = Hedwig, 			Occurrence = 13
Word = Mom, 			Occurrence = 13
Word = staircase, 			Occurrence = 13
Word = Slytherins, 			Occurrence = 13
Word = Seeker, 			Occurrence = 13
Word = Bludgers, 			Occurrence = 13
Word = several, 			Occurrence = 12
Word = possible, 			Occurrence = 12
Word = walk, 			Occurrence = 12
Word = buy, 			Occurrence = 12
Word = finished, 			Occurrence = 12
Word = wide, 			Occurrence = 12
Word = sir, 			Occurrence = 12
Word = happy, 			Occurrence = 12
Word = pull, 			Occurrence = 12
Word = Er, 			Occurrence = 12
Word = expected, 			Occurrence = 12
Word = Their, 			Occurrence = 12
Word = appeared, 			Occurrence = 12
Word = tall, 			Occurrence = 12
Word = beard, 			Occurrence = 12
Word = Pomfrey, 			Occurrence = 12
Word = real, 			Occurrence = 12
Word = true, 			Occurrence = 12
